name,cost of attendance.in-state,tuition.in-state,cost of attendance.out-of-state,tuition.out-of-state,students offered wait list,average gpa,overall admission rate,overall admission rate.men,overall admission rate.women,received financial aid,need fully met,average percent of need met,average award,average indebtedness of 2018 graduates,academic calendar system,most popular disciplines,location,city size,campus size,avg low in jan,avg high in sep,college housing,sororities,fraternities,coeducational,all undergraduates,all undergraduates.women,all undergraduates.men,international students,first-year students returning,students graduating within 4 years,students graduating within 6 years,average starting salary,graduates pursuing advanced study directly
Princeton University,78390,56010,78390,56010,820,3.92,6.0,5.0,6.0,100.0,100.0,100.0,52681,9623,Semester,Social sciences Engineering Biological/life sciences Computer and information sciences,-,29008,600,23.4,82.3,1,,,1,4773,50.5,49.5,11.4,83.3,89.6,97.8,68422,
Harvard University,82378,55587,82378,55587,,4.0,5.0,5.0,5.0,100.0,100.0,100.0,60230,18197,Semester,Social sciences Biological/life sciences Mathematics and statistics,Cambridge,119192,380,21.6,76.3,1,,,1,5222,51.0,49.0,,75.0,85.9,98.0,,
Massachusetts Institute of Technology,77020,55878,77020,55878,617,,7.0,5.0,12.0,100.0,99.9,100.0,54235,22735,4-1-4,Engineering Computer and information sciences Mathematics and statistics,Cambridge,119192,168,21.6,76.3,1,26.0,39.0,1,4361,47.7,52.3,,98.0,86.6,96.0,,37.0
Yale University,82170,59950,82170,59950,,,7.0,7.0,6.0,100.0,100.0,100.0,61920,14884,Semester,Social sciences Biological/life sciences History,New Haven,130660,380,15.8,80.0,1,,,1,4703,49.9,50.1,10.0,65.0,83.9,96.0,,16.6
Stanford University,78218,56169,78218,56169,850,3.96,5.0,5.0,6.0,100.0,90.5,100.0,57376,24337,Quarter,Engineering Computer and information sciences Interdisciplinary studies,-,13809,8180,45.8,68.7,1,25.0,19.0,1,6366,50.9,49.1,10.7,85.8,74.0,95.2,78000,
University of Chicago,82848,60963,82848,60963,,4.2,7.0,8.0,7.0,99.1,100.0,100.0,59328,26560,Quarter,Social sciences Mathematics and statistics Biological/life sciences,Chicago,2677643,217,12.9,79.6,1,,,1,6989,47.9,52.1,14.8,99.0,90.7,96.0,,
University of Pennsylvania,83298,61710,83298,61710,3205,3.9,9.0,8.0,10.0,100.0,100.0,100.0,57025,23876,Semester,Business/marketing Social sciences Biological/life sciences Health professions and related sciences Engineering,Philadelphia,1578487,299,22.8,81.7,1,,,1,9872,53.6,46.4,13.0,95.0,85.8,95.5,,
California Institute of Technology,79947,58680,79947,58680,312,,7.0,6.0,11.0,100.0,100.0,100.0,52493,16950,Quarter,Engineering Computer and information sciences Physical sciences,Pasadena,141045,124,48.9,76.6,1,,,1,901,45.6,54.4,7.5,93.6,86.2,91.6,NaN,
Duke University,80774,60244,80774,60244,,,8.0,8.0,8.0,100.0,100.0,100.0,60809,24219,Semester,Business/marketing Social sciences Engineering,Durham,285897,8500,28.8,85.0,1,,,1,6717,50.6,49.4,,95.0,89.9,95.0,,
Johns Hopkins University,76790,58720,76790,58720,1889,3.92,9.0,9.0,9.0,98.9,100.0,100.0,49492,21655,4-1-4,Engineering Biological/life sciences Health professions and related sciences,-,586131,140,23.4,83.2,1,35.0,24.0,1,5427,52.6,47.4,11.2,97.3,89.3,94.9,60768,33.0
Northwestern University,,60507,,60507,,,9.0,9.0,10.0,100.0,100.0,100.0,54794,35219,Quarter,Social sciences Communication/journalism Engineering,-,72683,250,12.9,79.6,1,,,1,8194,51.9,48.1,10.1,97.0,85.1,94.9,,
Dartmouth College,82538,60648,82538,60648,2661,,9.0,9.0,9.0,100.0,100.0,100.0,51197,23850,Quarter,Social sciences Engineering Biological/life sciences,Hanover,11555,269,7.4,77.3,1,33.0,29.0,1,4170,48.6,51.4,10.5,96.1,87.5,95.0,,14.0
Brown University,82670,62404,82670,62404,,,8.0,9.0,7.0,100.0,98.7,100.0,56301,24443,Semester,Social sciences Biological/life sciences Computer and information sciences,-,179270,154,19.1,76.9,1,9.0,11.0,1,6792,53.2,46.8,10.8,91.6,83.8,95.2,,
Vanderbilt University,80466,56966,80466,56966,,3.86,12.0,13.0,11.0,100.0,100.0,100.0,55258,22808,Semester,Social sciences Engineering Interdisciplinary studies,-,624496,330,26.5,86.5,1,43.0,27.0,1,7057,51.3,48.7,9.4,96.1,88.4,92.8,,23.2
Washington University in St. Louis,81620,58866,81620,58866,,4.21,16.0,16.0,16.0,98.6,100.0,100.0,55407,19649,Semester,Engineering Social sciences Biological/life sciences,St. Louis,318172,169,20.8,85.2,1,10.0,19.0,1,7653,53.4,46.6,6.8,94.0,88.0,94.0,73211,22.0
Cornell University,80287,61015,80287,61015,4948,,11.0,9.0,12.0,100.0,100.0,100.0,51716,32372,Semester,Business/marketing Engineering Biological/life sciences,Ithaca,19345,745,14.3,73.8,1,24.0,26.0,1,15043,53.9,46.1,,97.5,,,66953,
Rice University,72045,52895,72045,52895,3451,,11.0,11.0,11.0,99.1,99.6,100.0,54051,24188,Semester,Engineering Social sciences Computer and information sciences,Houston,2316120,300,39.7,90.1,1,,,1,4130,48.4,51.6,11.6,96.5,84.9,94.2,,
University of Notre Dame,75147,58843,75147,58843,1778,,19.0,19.0,19.0,100.0,99.6,100.0,55556,28696,Semester,Business/marketing Social sciences Engineering,Notre Dame,5973,1250,16.1,79.5,1,,,1,8874,48.2,51.8,5.5,97.0,92.9,97.0,,22.0
University of California--Los Angeles,,,,,14470,3.9,,13.0,15.0,99.9,22.0,79.0,21245,20305,Quarter,Social sciences Biological/life sciences Psychology,-,3857799,419,48.9,76.6,1,,,1,31546,58.6,41.4,10.6,95.6,80.8,91.2,,
Emory University,73020,55468,73020,55468,5215,3.8,19.0,20.0,19.0,99.8,95.0,98.0,47542,26331,Semester,Social sciences Business/marketing Biological/life sciences,Atlanta,512550,631,31.5,85.8,1,13.0,14.0,1,7010,59.3,40.7,15.2,93.5,82.1,90.0,,33.0
University of California--Berkeley,41678,14226,71432,43980,8753,3.86,,15.0,20.0,97.9,23.4,80.0,25413,18468,Semester,Social sciences Engineering Biological/life sciences,-,122726,1232,45.8,68.7,1,,,1,30711,54.0,46.0,12.6,96.0,76.0,92.0,,
Georgetown University,82505,59957,82505,59957,2215,,17.0,18.0,16.0,100.0,100.0,100.0,42100,26078,Semester,Social sciences Business/marketing Interdisciplinary studies,Washington,712816,104,26.8,84.7,1,,,1,7357,55.9,44.1,13.7,94.0,90.3,94.0,,
University of Michigan--Ann Arbor,32484,16948,69633,54097,20723,3.87,26.0,24.0,28.0,96.7,73.2,92.0,30333,26600,Trimester,Engineering Computer and information sciences Social sciences,Ann Arbor,117025,3207,15.6,78.9,1,17.0,8.0,1,31329,50.4,49.6,7.3,96.0,80.9,93.4,,
Carnegie Mellon University,77474,58924,77474,58924,6819,3.85,17.0,13.0,23.0,99.2,80.7,98.0,49988,30395,Semester,Engineering Computer and information sciences Business/marketing Mathematics and statistics Interdisciplinary studies,Pittsburgh,299226,153,18.5,78.9,1,,,1,7073,50.2,49.8,20.8,95.6,79.8,95.6,,
University of Virginia,36840,19698,70808,53666,6465,4.31,23.0,22.0,23.0,100.0,100.0,100.0,30972,25194,Semester,Liberal arts/general studies Social sciences Engineering,Charlottesville,46950,1167,25.7,85.1,1,,,1,17311,56.0,44.0,,96.7,89.5,94.0,,
University of Southern California,84117,63511,84117,63511,,3.83,16.0,17.0,16.0,99.9,91.0,99.0,55626,26850,Semester,Health professions and related sciences Business/marketing Visual and performing arts,Los Angeles,3857799,229,48.9,76.6,1,27.0,26.0,1,19606,51.7,48.3,11.9,91.3,78.9,92.0,,
New York University,83608,59230,83608,59230,,3.71,21.0,22.0,20.0,94.8,10.9,62.0,37578,27676,Semester,Visual and performing arts Business/marketing Social sciences,New York,8244910,230,24.9,78.9,1,7.0,3.0,1,27444,57.3,42.7,23.6,90.0,79.2,88.0,,12.4
Tufts University,83858,65158,83858,65158,2136,,16.0,17.0,16.0,98.5,100.0,100.0,50466,25065,Semester,Social sciences Computer and information sciences Engineering,Medford,60847,150,21.6,76.3,1,12.6,9.0,1,6114,54.2,45.8,10.7,92.2,88.8,93.9,,
University of California--Santa Barbara,37390,14417,67144,44171,9885,4.17,37.0,35.0,38.0,97.2,12.6,76.0,22669,19034,Quarter,Social sciences Biological/life sciences Interdisciplinary studies Psychology,Santa Barbara,89639,989,40.1,75.2,1,,,1,23079,55.1,44.9,,91.0,,,,
