id,rankingType,name,urlName,region,fundingType,rank,location,tuition,totalUndergradEnrollment,costAfterAid,percentReceivingAid,acceptanceRate,hsGpa,engineeringRepScore,businessRepScore,computerScienceRepScore,nursingRepScore,sat25,sat75,act25,act75
2627,national-universities,Princeton University,princeton-university,,private,1,"Princeton, NJ",57410,5321,16562.0,62,4,3.9,4.1,,4.6,,1460,1570,33,35
2178,national-universities,Massachusetts Institute of Technology,massachusetts-institute-of-technology,,private,2,"Cambridge, MA",57986,4638,19898.0,57,4,,4.9,4.6,4.9,,1510,1580,34,36
2155,national-universities,Harvard University,harvard-university,,private,3,"Cambridge, MA",57261,7153,15415.0,55,4,3.9,3.7,,4.3,,1480,1580,33,36
1305,national-universities,Stanford University,stanford-university,,private,3,"Stanford, CA",56169,7645,17898.0,50,4,3.9,4.8,,4.9,,1470,1570,34,35
1426,national-universities,Yale University,yale-university,,private,3,"New Haven, CT",62250,6536,17609.0,53,5,,3.5,,4.2,,1480,1580,33,35
1774,national-universities,University of Chicago,university-of-chicago,,private,6,"Chicago, IL",62940,7526,26304.0,35,6,,,,4.0,,1510,1580,33,35
2077,national-universities,Johns Hopkins University,jhu,,private,7,"Baltimore, MD",60480,6132,24749.0,54,8,3.9,4.0,,4.2,,1510,1570,34,35
3378,national-universities,University of Pennsylvania,university-of-pennsylvania,,private,7,"Philadelphia, PA",63452,9962,29728.0,45,6,3.9,3.8,4.8,4.2,4.5,1480,1570,33,35
1131,national-universities,California Institute of Technology,california-institute-of-technology,,private,9,"Pasadena, CA",60864,987,26291.0,52,4,,4.6,,4.5,,1530,1580,35,36
2920,national-universities,Duke University,duke-university,,private,10,"Durham, NC",63054,6883,27393.0,38,6,,3.9,,4.0,4.3,1480,1570,33,35
1739,national-universities,Northwestern University,northwestern-university,,private,10,"Evanston, IL",63468,8494,26525.0,44,7,,3.9,,3.9,,1460,1560,33,35
2573,national-universities,Dartmouth College,dartmouth-college,,private,12,"Hanover, NH",62430,4556,21172.0,48,6,,3.2,,3.7,,1440,1560,33,35
3401,national-universities,Brown University,brown-university,,private,13,"Providence, RI",65146,7349,26258.0,42,6,,3.5,,4.1,,1460,1570,33,35
3535,national-universities,Vanderbilt University,vanderbilt,,private,13,"Nashville, TN",60348,7111,21064.0,48,7,3.8,3.5,,3.7,,1480,1570,34,35
3604,national-universities,Rice University,rice,,private,15,"Houston, TX",54960,4247,18824.0,45,9,,3.9,,3.9,,1490,1570,34,35
2520,national-universities,Washington University in St. Louis,washington-university-in-st-louis,,private,15,"St. Louis, MO",60590,8034,26957.0,40,13,,3.4,4.0,3.6,,1490,1570,33,35
2711,national-universities,Cornell University,cornell-university,,private,17,"Ithaca, NY",63200,15503,30947.0,47,9,,4.3,4.2,4.6,,1450,1560,33,35
2707,national-universities,Columbia University,columbia-university,,private,18,"New York, NY",65524,8148,,,6,,3.9,,4.3,,1460,1570,33,35
1840,national-universities,University of Notre Dame,university-of-notre-dame,,private,18,"Notre Dame, IN",60301,8973,30730.0,47,15,,3.5,4.0,3.6,,1410,1550,32,35
